,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score_phrase,score,editors_choice,release_year,release_month,release_day
1073,LEGO Star Wars: The Video Game,PC,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,Good,7.8,N,2005,3,28
1074,Dark Void,PC,Action,Capcom,0.0,0.01,0.0,0.0,0.02,Mediocre,5.0,N,2010,1,20
1075,Star Trek: Legacy,PC,Simulation,Ubisoft,0.0,0.01,0.0,0.0,0.02,Mediocre,5.9,N,2006,12,11
1076,Command & Conquer 4: Tiberian Twilight,PC,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.02,Good,7.4,N,2010,3,18
1077,The Incredibles: Rise of the Underminer,PC,Action,THQ,0.01,0.0,0.0,0.0,0.02,Okay,6.0,N,2005,12,1
1078,A Vampyre Story,PC,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,Good,7.6,N,2008,12,12
1079,Sniper Elite,PC,Shooter,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02,Good,7.5,N,2005,11,2
1080,Drakensang: The Dark Eye,PC,Role-Playing,Eidos Interactive,0.01,0.0,0.0,0.0,0.02,Good,7.6,N,2009,2,23
1081,Contrast,PC,Platform,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02,Good,7.5,N,2013,11,13
1082,Elven Legacy,PC,Strategy,Paradox Interactive,0.01,0.0,0.0,0.0,0.02,Good,7.7,N,2009,4,15
1083,Majesty 2: The Fantasy Kingdom Sim,PC,Simulation,Paradox Interactive,0.01,0.0,0.0,0.0,0.02,Good,7.5,N,2009,9,15
1084,Enemy Territory: Quake Wars,PC,Shooter,Activision,0.01,0.0,0.0,0.0,0.02,Great,8.5,Y,2007,10,2
1085,Evil Genius,PC,Strategy,Vivendi Games,0.0,0.01,0.0,0.0,0.02,Good,7.8,N,2004,9,28
1086,Pillars of Eternity,PC,Role-Playing,Paradox Interactive,0.0,0.01,0.0,0.0,0.02,Amazing,9.0,Y,2015,3,27
1087,Imperium Romanum,PC,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,Okay,6.0,N,2008,3,24
1088,You Don't Know Jack,PC,Misc,Vivendi Games,0.01,0.0,0.0,0.0,0.02,Okay,6.0,N,2011,2,11
1089,Turok,PC,Action,Touchstone,0.0,0.01,0.0,0.0,0.01,Good,7.0,N,2008,4,24
1090,Serious Sam II,PC,Shooter,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,Great,8.2,N,2005,10,11
1091,Neverwinter Nights 2: Mask of the Betrayer,PC,Role-Playing,Atari,0.0,0.01,0.0,0.0,0.01,Great,8.5,Y,2007,10,15
1092,Call of Juarez,PC,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01,Okay,6.8,N,2007,7,18
1093,Unreal Tournament 2003,PC,Shooter,Atari,0.0,0.01,0.0,0.0,0.01,Amazing,9.0,Y,2002,9,27
1094,The Last Remnant,PC,Role-Playing,Square Enix,0.0,0.01,0.0,0.0,0.01,Okay,6.8,N,2009,3,20
1095,Guitar Hero III: Legends of Rock,PC,Misc,Aspyr,0.01,0.0,0.0,0.0,0.01,Great,8.5,Y,2007,11,13
1096,IL-2 Sturmovik,PC,Simulation,Blue Byte,0.0,0.01,0.0,0.0,0.01,Great,8.3,N,2001,11,28
1097,East India Company,PC,Strategy,Paradox Interactive,0.01,0.0,0.0,0.0,0.01,Good,7.7,N,2009,7,30
1098,Grand Theft Auto III,PC,Action,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,Amazing,9.4,Y,2002,5,27
1099,Harry Potter and the Chamber of Secrets,PC,Action,Electronic Arts,0.0,0.01,0.0,0.0,0.01,Great,8.0,N,2002,11,26
1100,Tiger Woods PGA Tour 2005,PC,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,Amazing,9.0,Y,2004,9,27
1101,Deus Ex,PC,Role-Playing,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,Amazing,9.4,Y,2000,6,27
1102,Rail Simulator,PC,Simulation,Electronic Arts,0.0,0.01,0.0,0.0,0.01,Good,7.0,N,2008,2,25
1103,BattleForge,PC,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.01,Okay,6.6,N,2009,4,1
1104,Homeworld Remastered Collection,PC,Strategy,,0.0,0.01,0.0,0.0,0.01,Amazing,9.0,Y,2015,2,24
1105,Groovin' Blocks,Wii,Puzzle,Zoo Games,0.01,0.0,0.0,0.0,0.01,Good,7.6,N,2008,9,9
1106,Spider-Man: Friend or Foe,PC,Action,Activision,0.01,0.0,0.0,0.0,0.01,Bad,4.9,N,2007,10,5
1107,Marvel: Ultimate Alliance,PC,Role-Playing,Activision,0.01,0.0,0.0,0.0,0.01,Great,8.2,N,2006,10,25
1108,F.E.A.R. Perseus Mandate,PC,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,Mediocre,5.9,N,2007,11,6
1109,FlatOut: Ultimate Carnage,PC,Racing,Empire Interactive,0.0,0.01,0.0,0.0,0.01,Good,7.8,N,2008,9,12
1110,Conflict: Denied Ops,PC,Shooter,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,Bad,4.0,N,2008,2,25
1111,Battlestations: Midway,PC,Strategy,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,Great,8.5,Y,2007,1,30
1112,The Chronicles of Riddick: Assault on Dark Athena,PC,Shooter,Vivendi Games,0.0,0.01,0.0,0.0,0.01,Good,7.4,N,2009,3,31
1113,The Chronicles of Riddick: Assault on Dark Athena,PC,Shooter,Vivendi Games,0.0,0.01,0.0,0.0,0.01,Good,7.4,N,2009,3,31
1114,TimeShift,PC,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,Good,7.6,N,2007,10,30
1115,Inversion,PC,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01,Mediocre,5.5,N,2012,6,5
1116,Command & Conquer Renegade,PC,Shooter,Electronic Arts,0.0,0.01,0.0,0.0,0.01,Good,7.4,N,2002,3,4
1117,Icewind Dale II,PC,Role-Playing,Interplay,0.0,0.01,0.0,0.0,0.01,Amazing,9.0,Y,2002,9,5
1118,Survivor,Wii,Adventure,Valcon Games,0.01,0.0,0.0,0.0,0.01,Mediocre,5.5,N,2011,1,28
1119,Alone in the Dark,PC,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,Awful,3.5,N,2008,7,8
1120,The Technomancer,PC,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,Bad,4.9,N,2016,6,28
1121,Clive Barker's Jericho,PC,Shooter,Codemasters,0.0,0.01,0.0,0.0,0.01,Mediocre,5.6,N,2007,10,26
1122,Madagascar: Escape 2 Africa,PC,Action,Activision,0.01,0.0,0.0,0.0,0.01,Bad,4.3,N,2008,11,17
1123,Legacy of Kain: Defiance,PC,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,Great,8.0,N,2003,12,18
1124,Trine,PC,Action,Nobilis,0.0,0.01,0.0,0.0,0.01,Great,8.2,N,2009,8,6
1125,Deal or No Deal,PC,Misc,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,Awful,3.1,N,2007,2,15
1126,Mini Desktop Racing,Wii,Racing,Popcorn Arcade,0.01,0.0,0.0,0.0,0.01,Unbearable,1.2,N,2007,12,10
1127,Damnation,PC,Shooter,Codemasters,0.0,0.01,0.0,0.0,0.01,Painful,2.5,N,2009,6,15
1128,Breach,PC,Shooter,Destineer,0.01,0.0,0.0,0.0,0.01,Okay,6.0,N,2011,2,7
